NAME,B08301_001E,B08301_003E,B08301_010E,state,county,tract
Census Tract 19.01; Fulton County; Georgia,624,176,9,13,121,001901
Census Tract 19.02; Fulton County; Georgia,1521,620,283,13,121,001902
Census Tract 21; Fulton County; Georgia,2082,825,90,13,121,002100
Census Tract 23; Fulton County; Georgia,421,289,56,13,121,002300
Census Tract 24; Fulton County; Georgia,1024,548,69,13,121,002400
Census Tract 25; Fulton County; Georgia,1088,544,297,13,121,002500
Census Tract 26; Fulton County; Georgia,414,162,47,13,121,002600
Census Tract 28.01; Fulton County; Georgia,1580,492,19,13,121,002801
Census Tract 28.02; Fulton County; Georgia,900,283,85,13,121,002802
Census Tract 29; Fulton County; Georgia,1986,1323,54,13,121,002900
Census Tract 30; Fulton County; Georgia,3252,1707,63,13,121,003000
Census Tract 31; Fulton County; Georgia,1972,860,355,13,121,003100
Census Tract 32; Fulton County; Georgia,2467,1151,11,13,121,003200
Census Tract 35; Fulton County; Georgia,1894,515,405,13,121,003500
Census Tract 36; Fulton County; Georgia,615,323,0,13,121,003600
Census Tract 37; Fulton County; Georgia,51,18,0,13,121,003700
Census Tract 38; Fulton County; Georgia,908,190,72,13,121,003800
Census Tract 39; Fulton County; Georgia,732,171,138,13,121,003900
Census Tract 40; Fulton County; Georgia,1497,894,132,13,121,004000
Census Tract 41; Fulton County; Georgia,1139,572,56,13,121,004100
Census Tract 42; Fulton County; Georgia,1085,301,427,13,121,004200
Census Tract 43; Fulton County; Georgia,1136,370,110,13,121,004300
Census Tract 44; Fulton County; Georgia,864,407,192,13,121,004400
Census Tract 48; Fulton County; Georgia,550,481,0,13,121,004800
Census Tract 49; Fulton County; Georgia,2032,849,0,13,121,004900
Census Tract 50; Fulton County; Georgia,2865,1644,3,13,121,005000
Census Tract 52; Fulton County; Georgia,3309,1422,43,13,121,005200
Census Tract 53; Fulton County; Georgia,2494,1238,52,13,121,005300
Census Tract 55.01; Fulton County; Georgia,1879,932,99,13,121,005501
Census Tract 55.03; Fulton County; Georgia,364,180,33,13,121,005503
Census Tract 55.04; Fulton County; Georgia,517,335,9,13,121,005504
Census Tract 57; Fulton County; Georgia,840,523,95,13,121,005700
Census Tract 58; Fulton County; Georgia,728,304,29,13,121,005800
Census Tract 60; Fulton County; Georgia,1548,855,71,13,121,006000
Census Tract 61; Fulton County; Georgia,1592,973,184,13,121,006100
Census Tract 62; Fulton County; Georgia,854,205,93,13,121,006200
Census Tract 63; Fulton County; Georgia,976,393,185,13,121,006300
Census Tract 64; Fulton County; Georgia,721,443,19,13,121,006400
Census Tract 65; Fulton County; Georgia,2192,948,173,13,121,006500
Census Tract 66.01; Fulton County; Georgia,910,484,69,13,121,006601
Census Tract 66.02; Fulton County; Georgia,391,116,91,13,121,006602
Census Tract 67.01; Fulton County; Georgia,1187,489,165,13,121,006701
Census Tract 67.02; Fulton County; Georgia,814,469,155,13,121,006702
Census Tract 68.01; Fulton County; Georgia,5,0,3,13,121,006801
Census Tract 68.02; Fulton County; Georgia,258,82,43,13,121,006802
Census Tract 69; Fulton County; Georgia,2485,1366,129,13,121,006900
Census Tract 70.01; Fulton County; Georgia,1671,910,64,13,121,007001
Census Tract 70.02; Fulton County; Georgia,1388,605,19,13,121,007002
Census Tract 71; Fulton County; Georgia,724,287,78,13,121,007100
Census Tract 72; Fulton County; Georgia,662,428,25,13,121,007200
Census Tract 73.01; Fulton County; Georgia,2399,1749,247,13,121,007301
Census Tract 73.02; Fulton County; Georgia,969,697,61,13,121,007302
Census Tract 74; Fulton County; Georgia,896,281,82,13,121,007400
Census Tract 75; Fulton County; Georgia,922,570,153,13,121,007500
Census Tract 76.02; Fulton County; Georgia,840,561,139,13,121,007602
Census Tract 76.03; Fulton County; Georgia,1281,778,163,13,121,007603
Census Tract 76.04; Fulton County; Georgia,1428,760,328,13,121,007604
Census Tract 77.03; Fulton County; Georgia,1795,1286,64,13,121,007703
Census Tract 77.05; Fulton County; Georgia,1480,776,272,13,121,007705
Census Tract 77.07; Fulton County; Georgia,1283,817,51,13,121,007707
Census Tract 77.08; Fulton County; Georgia,1502,723,252,13,121,007708
Census Tract 77.09; Fulton County; Georgia,2009,1199,86,13,121,007709
Census Tract 77.10; Fulton County; Georgia,937,501,127,13,121,007710
Census Tract 77.11; Fulton County; Georgia,1389,590,260,13,121,007711
Census Tract 78.05; Fulton County; Georgia,2115,923,338,13,121,007805
Census Tract 78.06; Fulton County; Georgia,2396,1073,153,13,121,007806
Census Tract 78.07; Fulton County; Georgia,1173,437,538,13,121,007807
