NAME,B08141_001E,B08141_002E,state,county,tract
Census Tract 234.25; DeKalb County; Georgia,2555,0,13,089,023425
Census Tract 234.26; DeKalb County; Georgia,1826,0,13,089,023426
Census Tract 234.27; DeKalb County; Georgia,1335,14,13,089,023427
Census Tract 234.29; DeKalb County; Georgia,1706,9,13,089,023429
Census Tract 234.30; DeKalb County; Georgia,1817,30,13,089,023430
Census Tract 234.31; DeKalb County; Georgia,854,65,13,089,023431
Census Tract 234.32; DeKalb County; Georgia,1963,48,13,089,023432
Census Tract 234.33; DeKalb County; Georgia,2571,34,13,089,023433
Census Tract 234.34; DeKalb County; Georgia,2552,49,13,089,023434
Census Tract 234.35; DeKalb County; Georgia,1220,90,13,089,023435
Census Tract 234.36; DeKalb County; Georgia,1524,0,13,089,023436
Census Tract 234.37; DeKalb County; Georgia,3376,43,13,089,023437
Census Tract 234.38; DeKalb County; Georgia,2098,48,13,089,023438
Census Tract 234.39; DeKalb County; Georgia,1043,194,13,089,023439
Census Tract 234.40; DeKalb County; Georgia,3127,51,13,089,023440
Census Tract 234.41; DeKalb County; Georgia,1969,0,13,089,023441
Census Tract 234.42; DeKalb County; Georgia,1591,51,13,089,023442
Census Tract 234.43; DeKalb County; Georgia,3009,29,13,089,023443
Census Tract 234.44; DeKalb County; Georgia,989,29,13,089,023444
Census Tract 234.45; DeKalb County; Georgia,1532,0,13,089,023445
Census Tract 234.46; DeKalb County; Georgia,1076,3,13,089,023446
Census Tract 234.47; DeKalb County; Georgia,954,0,13,089,023447
Census Tract 234.48; DeKalb County; Georgia,1319,14,13,089,023448
Census Tract 235.01; DeKalb County; Georgia,1655,61,13,089,023501
Census Tract 235.04; DeKalb County; Georgia,1174,217,13,089,023504
Census Tract 235.05; DeKalb County; Georgia,1182,22,13,089,023505
Census Tract 235.06; DeKalb County; Georgia,2452,100,13,089,023506
Census Tract 235.07; DeKalb County; Georgia,1184,71,13,089,023507
Census Tract 236.01; DeKalb County; Georgia,1225,14,13,089,023601
Census Tract 236.02; DeKalb County; Georgia,842,35,13,089,023602
Census Tract 236.03; DeKalb County; Georgia,1307,7,13,089,023603
Census Tract 237.01; DeKalb County; Georgia,2002,244,13,089,023701
Census Tract 237.02; DeKalb County; Georgia,1523,65,13,089,023702
Census Tract 238.01; DeKalb County; Georgia,2992,31,13,089,023801
Census Tract 238.02; DeKalb County; Georgia,1297,66,13,089,023802
Census Tract 238.03; DeKalb County; Georgia,2463,107,13,089,023803
Census Tract 9800; DeKalb County; Georgia,0,0,13,089,980000
Census Tract 1; Fulton County; Georgia,2808,0,13,121,000100
Census Tract 2.01; Fulton County; Georgia,1401,0,13,121,000201
Census Tract 2.02; Fulton County; Georgia,2057,42,13,121,000202
Census Tract 4; Fulton County; Georgia,1171,12,13,121,000400
Census Tract 5.01; Fulton County; Georgia,4247,197,13,121,000501
Census Tract 5.02; Fulton County; Georgia,1375,10,13,121,000502
Census Tract 6.01; Fulton County; Georgia,3048,582,13,121,000601
Census Tract 6.02; Fulton County; Georgia,1965,250,13,121,000602
Census Tract 7; Fulton County; Georgia,609,0,13,121,000700
Census Tract 10.01; Fulton County; Georgia,3292,538,13,121,001001
Census Tract 10.02; Fulton County; Georgia,1031,215,13,121,001002
Census Tract 11.01; Fulton County; Georgia,2665,75,13,121,001101
Census Tract 11.02; Fulton County; Georgia,3055,211,13,121,001102
Census Tract 12.03; Fulton County; Georgia,2163,282,13,121,001203
Census Tract 12.04; Fulton County; Georgia,1881,163,13,121,001204
Census Tract 12.05; Fulton County; Georgia,1523,155,13,121,001205
Census Tract 12.06; Fulton County; Georgia,3056,547,13,121,001206
Census Tract 13.01; Fulton County; Georgia,1927,370,13,121,001301
Census Tract 13.02; Fulton County; Georgia,1311,104,13,121,001302
Census Tract 14; Fulton County; Georgia,1798,78,13,121,001400
Census Tract 15.01; Fulton County; Georgia,1642,53,13,121,001501
Census Tract 15.02; Fulton County; Georgia,1418,25,13,121,001502
Census Tract 16; Fulton County; Georgia,1912,77,13,121,001600
Census Tract 17.01; Fulton County; Georgia,1076,58,13,121,001701
Census Tract 17.02; Fulton County; Georgia,3039,41,13,121,001702
Census Tract 18.01; Fulton County; Georgia,1193,147,13,121,001801
Census Tract 18.02; Fulton County; Georgia,1524,140,13,121,001802
Census Tract 19.01; Fulton County; Georgia,163,0,13,121,001901
Census Tract 19.02; Fulton County; Georgia,1521,214,13,121,001902
Census Tract 21; Fulton County; Georgia,1983,139,13,121,002100
Census Tract 23; Fulton County; Georgia,421,17,13,121,002300
Census Tract 24; Fulton County; Georgia,1014,58,13,121,002400
Census Tract 25; Fulton County; Georgia,1050,349,13,121,002500
Census Tract 26; Fulton County; Georgia,414,123,13,121,002600
Census Tract 28.01; Fulton County; Georgia,936,77,13,121,002801
Census Tract 28.02; Fulton County; Georgia,477,44,13,121,002802
Census Tract 29; Fulton County; Georgia,1982,191,13,121,002900
Census Tract 30; Fulton County; Georgia,3252,225,13,121,003000
Census Tract 31; Fulton County; Georgia,1972,441,13,121,003100
Census Tract 32; Fulton County; Georgia,2465,81,13,121,003200
Census Tract 35; Fulton County; Georgia,1762,373,13,121,003500
Census Tract 36; Fulton County; Georgia,615,74,13,121,003600
Census Tract 37; Fulton County; Georgia,51,9,13,121,003700
Census Tract 38; Fulton County; Georgia,91,35,13,121,003800
Census Tract 39; Fulton County; Georgia,732,35,13,121,003900
Census Tract 40; Fulton County; Georgia,1497,31,13,121,004000
Census Tract 41; Fulton County; Georgia,1134,202,13,121,004100
Census Tract 42; Fulton County; Georgia,1084,315,13,121,004200
Census Tract 43; Fulton County; Georgia,712,119,13,121,004300
Census Tract 44; Fulton County; Georgia,864,183,13,121,004400
Census Tract 48; Fulton County; Georgia,550,47,13,121,004800
Census Tract 49; Fulton County; Georgia,2032,85,13,121,004900
Census Tract 50; Fulton County; Georgia,2865,47,13,121,005000
Census Tract 52; Fulton County; Georgia,3288,69,13,121,005200
Census Tract 53; Fulton County; Georgia,2480,48,13,121,005300
Census Tract 55.01; Fulton County; Georgia,1879,84,13,121,005501
Census Tract 55.03; Fulton County; Georgia,364,88,13,121,005503
Census Tract 55.04; Fulton County; Georgia,514,4,13,121,005504
Census Tract 57; Fulton County; Georgia,840,21,13,121,005700
Census Tract 58; Fulton County; Georgia,728,0,13,121,005800
Census Tract 60; Fulton County; Georgia,1546,82,13,121,006000
Census Tract 61; Fulton County; Georgia,1592,13,13,121,006100
Census Tract 62; Fulton County; Georgia,854,209,13,121,006200
Census Tract 63; Fulton County; Georgia,976,187,13,121,006300
Census Tract 64; Fulton County; Georgia,721,139,13,121,006400
Census Tract 65; Fulton County; Georgia,2192,56,13,121,006500
Census Tract 66.01; Fulton County; Georgia,910,94,13,121,006601
Census Tract 66.02; Fulton County; Georgia,391,48,13,121,006602
Census Tract 67.01; Fulton County; Georgia,1187,32,13,121,006701
Census Tract 67.02; Fulton County; Georgia,814,79,13,121,006702
Census Tract 68.01; Fulton County; Georgia,0,0,13,121,006801
Census Tract 68.02; Fulton County; Georgia,258,198,13,121,006802
Census Tract 69; Fulton County; Georgia,2485,111,13,121,006900
Census Tract 70.01; Fulton County; Georgia,1671,342,13,121,007001
Census Tract 70.02; Fulton County; Georgia,1388,0,13,121,007002
Census Tract 71; Fulton County; Georgia,724,31,13,121,007100
Census Tract 72; Fulton County; Georgia,662,0,13,121,007200
Census Tract 73.01; Fulton County; Georgia,2398,48,13,121,007301
Census Tract 73.02; Fulton County; Georgia,968,277,13,121,007302
Census Tract 74; Fulton County; Georgia,896,181,13,121,007400
Census Tract 75; Fulton County; Georgia,869,90,13,121,007500
Census Tract 76.02; Fulton County; Georgia,838,129,13,121,007602
Census Tract 76.03; Fulton County; Georgia,1281,80,13,121,007603
Census Tract 76.04; Fulton County; Georgia,1428,160,13,121,007604
Census Tract 77.03; Fulton County; Georgia,1795,113,13,121,007703
Census Tract 77.05; Fulton County; Georgia,1480,128,13,121,007705
Census Tract 77.07; Fulton County; Georgia,1283,22,13,121,007707
Census Tract 77.08; Fulton County; Georgia,1502,251,13,121,007708
Census Tract 77.09; Fulton County; Georgia,2009,163,13,121,007709
Census Tract 77.10; Fulton County; Georgia,937,55,13,121,007710
Census Tract 77.11; Fulton County; Georgia,1389,33,13,121,007711
Census Tract 78.05; Fulton County; Georgia,2115,668,13,121,007805
Census Tract 78.06; Fulton County; Georgia,2396,276,13,121,007806
Census Tract 78.07; Fulton County; Georgia,1173,504,13,121,007807
Census Tract 78.08; Fulton County; Georgia,896,288,13,121,007808
Census Tract 78.09; Fulton County; Georgia,2088,35,13,121,007809
Census Tract 78.10; Fulton County; Georgia,1705,28,13,121,007810
Census Tract 79; Fulton County; Georgia,2693,104,13,121,007900
Census Tract 80; Fulton County; Georgia,2609,153,13,121,008000
Census Tract 81.03; Fulton County; Georgia,1586,250,13,121,008103
Census Tract 81.04; Fulton County; Georgia,957,0,13,121,008104
Census Tract 82.02; Fulton County; Georgia,910,85,13,121,008202
Census Tract 82.03; Fulton County; Georgia,1011,0,13,121,008203
Census Tract 82.04; Fulton County; Georgia,749,21,13,121,008204
Census Tract 83.01; Fulton County; Georgia,1867,147,13,121,008301
Census Tract 83.02; Fulton County; Georgia,572,96,13,121,008302
Census Tract 84; Fulton County; Georgia,1147,117,13,121,008400
Census Tract 85; Fulton County; Georgia,1369,0,13,121,008500
Census Tract 86.01; Fulton County; Georgia,1207,400,13,121,008601
Census Tract 86.02; Fulton County; Georgia,708,90,13,121,008602
Census Tract 87.01; Fulton County; Georgia,1268,257,13,121,008701
